,Phân Loại,Nhãn,Dữ Liệu,Nguồn Dữ Liệu,Link (Nếu Có),Thông Tin Thêm,Bản text,Price
74,Đào tạo đại học,Cố định,Ngành Công nghệ thông tin,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-cong-nghe-thong-tin/,,,,
75,Đào tạo đại học,Cố định,Ngành Khoa học máy tính,https://daotao.ptit.edu.vn/chuong-trinh-dao-tao/nganh-khoa-hoc-may-tinh/,,,,
76,Thông tin số,Cố định,Website CIE - Đào tạo quốc tế,https://cie.ptit.edu.vn/,,,,
77,Thông tin số,Cố định,Website DEC - Đào tạo từ xa,https://dec.ptit.edu.vn/,,,,
78,Đào tạo từ xa,Cố định,Giới thiệu về Đào tạo từ xa,https://dec.ptit.edu.vn/gioi-thieu-ptit/,,Link đăng ký tuyển sinh Đào tạo từ xa,,
79,Đào tạo từ xa,Cố định,Tư vấn tuyển sinh Đào tạo từ xa,https://dec.ptit.edu.vn/tu-van-tuyen-sinh-ptit/,,,,
80,Đào tạo từ xa,Cố định,Ngành Công nghệ thông tin,https://dec.ptit.edu.vn/nganh-dao-tao-ptit/nganh-cong-nghe-thong-tin-ptit/,,,,
81,Đào tạo từ xa,Cố định,Ngành Quản trị kinh doanh,https://dec.ptit.edu.vn/nganh-dao-tao-ptit/nganh-quan-tri-kinh-doanh-ptit/,,,,
82,Đào tạo từ xa,Cố định,Ngành Kỹ thuật điện tử viễn thông,https://dec.ptit.edu.vn/nganh-dao-tao-ptit/nganh-ky-thuat-dien-tu-vien-thong-ptit/,,,,
83,Thông tin số,Cố định,Website quản lý đào tạo của Đào tạo từ xa,https://qldt.pttc1.edu.vn/,,,,
84,Thông tin số,Cố định,Website lớp học của Đào tạo từ xa,https://lms.pttc1.edu.vn/login/index.php,,,,
85,Thông tin số,Cố định,Website thư viện số của PTIT,https://dlib.ptit.edu.vn/,,,,
86,Thông tin số,Cố định,Website ERIPT - Đào tạo vừa học vừa làm (vhvl),https://eript.ptit.edu.vn/,,,,
87,Đào tạo vhvl,Cố định,Giới thiệu chung,https://eript.ptit.edu.vn/gioi-thieu-chung/,,,,
88,Đào tạo vhvl,Cố định,Cơ cấu tổ chức,https://eript.ptit.edu.vn/so-do-to-chuc/don-vi-1/,,,,
89,Đào tạo vhvl,Cố định,Giảng viên,https://eript.ptit.edu.vn/giang-vien/,,,,
90,Đào tạo vhvl,Cố định,Chương trình đào tạo,https://eript.ptit.edu.vn/gioi-thieu-chung/dao-tao/,,,,
